Date Time Byte0 Byte1 Byte2 Byte3 Byte4 Byte5 Byte6
2014-12-14 15:15:06.592218 0 0 106 0 193
2014-12-14 15:15:06.772411 181 0 7 0 1 67
2014-12-14 15:15:06.920367 213 0 0 106 0 193
2014-12-14 15:15:07.218663 213 0 0 106 0 193
2014-12-14 15:15:07.366911 181 0 1 0 0 74
2014-12-14 15:15:07.513758 213 0 0 106 0 193
2014-12-14 15:15:07.664176 181 0 4 0 0 71
2014-12-14 15:15:07.810444 213 0 0 106 0 193
2014-12-14 15:15:08.108591 213 0 0 106 0 193
2014-12-14 15:15:08.258685 181 0 5 0 30 40
2014-12-14 15:15:08.403810 213 0 0 106 0 193
2014-12-14 15:15:08.702015 213 0 0 106 0 193
2014-12-14 15:15:08.853180 181 0 6 0 2 67
2014-12-14 15:15:08.997227 213 0 0 106 0 193
2014-12-14 15:15:09.150548 181 0 7 0 1 67
2014-12-14 15:15:09.293891 213 0 0 106 0 193
2014-12-14 15:15:09.592172 213 0 0 106 0 193
2014-12-14 15:15:09.745045 181 0 1 0 0 74
2014-12-14 15:15:09.887299 213 0 0 106 0 193
2014-12-14 15:15:10.042168 181 0 4 0 0 71
2014-12-14 15:15:10.183912 213 0 0 106 0 193
2014-12-14 15:15:10.339437 181 0 5 0 30 40
2014-12-14 15:15:10.480553 213 0 0 106 0 193
2014-12-14 15:15:10.636657 181 0 6 0 2 67
2014-12-14 15:15:10.777223 213 0 0 106 0 193
2014-12-14 15:15:11.075573 213 0 0 106 0 193
2014-12-14 15:15:11.231345 181 0 7 0 1 67
2014-12-14 15:15:11.370717 213 0 0 106 0 193
2014-12-14 15:15:11.518645 181 0 1 0 0 74
2014-12-14 15:15:11.667404 213 0 0 106 0 193
2014-12-14 15:15:11.965692 213 0 0 106 0 193
2014-12-14 15:15:12.113064 181 0 4 0 0 71
2014-12-14 15:15:12.260726 213 0 0 106 0 193
2014-12-14 15:15:12.410306 181 0 5 0 30 40
2014-12-14 15:15:12.557371 213 0 0 106 0 193
2014-12-14 15:15:12.855656 213 0 0 106 0 193
2014-12-14 15:15:13.004842 181 0 6 0 2 67
2014-12-14 15:15:13.150887 213 0 0 106 0 193
2014-12-14 15:15:13.449128 213 0 0 106 0 193
2014-12-14 15:15:13.604134 181 0 7 129 1 194
2014-12-14 15:15:13.744282 213 0 0 106 0 193
2014-12-14 15:15:13.901353 181 0 1 129 0 201
2014-12-14 15:15:14.040926 213 0 0 106 0 193
2014-12-14 15:15:14.188609 181 0 4 129 0 198
2014-12-14 15:15:14.337532 213 0 0 106 0 193
2014-12-14 15:15:14.635801 213 0 0 106 0 193
2014-12-14 15:15:14.783162 181 0 5 129 30 167
2014-12-14 15:15:14.930913 213 0 0 106 0 193
2014-12-14 15:15:15.229244 213 0 0 106 0 193
2014-12-14 15:15:15.378066 181 0 6 129 2 194
2014-12-14 15:15:15.525086 213 0 0 106 0 193
2014-12-14 15:15:15.675047 181 0 7 129 1 194
2014-12-14 15:15:15.821123 213 0 0 106 0 193
2014-12-14 15:15:16.119338 213 0 0 106 0 193
2014-12-14 15:15:16.269538 181 0 1 129 0 201
2014-12-14 15:15:16.414413 213 0 0 106 0 193
2014-12-14 15:15:16.712710 213 0 0 106 0 193
2014-12-14 15:15:16.864054 181 0 4 129 0 198
2014-12-14 15:15:17.007760 213 0 0 106 0 193
2014-12-14 15:15:17.161463 181 0 5 129 30 167
2014-12-14 15:15:17.304549 213 0 0 106 0 193
2014-12-14 15:15:17.602870 213 0 0 106 0 193
2014-12-14 15:15:17.756023 181 0 6 129 2 194
2014-12-14 15:15:17.897966 213 0 0 106 0 193
2014-12-14 15:15:18.053229 181 0 7 129 1 194
2014-12-14 15:15:18.194581 213 0 0 106 0 193
2014-12-14 15:15:18.350401 181 0 1 129 0 201
2014-12-14 15:15:18.491193 213 0 0 106 0 193
2014-12-14 15:15:18.647637 181 0 4 129 0 198
2014-12-14 15:15:18.787888 213 0 0 106 0 193
2014-12-14 15:15:19.086106 213 0 0 106 0 193
2014-12-14 15:15:19.243090 181 0 5 130 30 166
2014-12-14 15:15:19.381373 213 0 0 106 0 193
2014-12-14 15:15:19.530358 181 0 6 130 2 193
2014-12-14 15:15:19.678037 213 0 0 106 0 193
